CountyFIPS,Density,ruralUrban
8087,22.7,Rural
8089,14.5,Rural
8091,9.2,Rural
8093,8.7,Rural
8095,6.2,Rural
8097,18.2,Rural
8099,7.4,Rural
8101,70.9,Rural
8103,2.0,Rural
8105,12.4,Rural
8107,10.9,Rural
8109,2.2,Rural
8111,1.9,Rural
8113,6.4,Rural
8115,4.1,Rural
8117,51.1,Rural
8119,45.9,Rural
8121,2.0,Rural
8123,82.0,Rural
8125,4.2,Rural
9001,1508.4,Urban
9003,1212.9,Urban
9005,196.0,Rural
9007,440.3,Rural
9009,1414.2,Urban
9011,399.1,Rural
9013,367.8,Rural
9015,228.1,Rural
10001,310.1,Rural
10003,1315.2,Urban
10005,252.5,Rural
11001,11564.4,Urban
12001,308.6,Rural
12003,50.3,Rural
12005,228.7,Rural
12007,97.2,Rural
12009,597.7,Urban
12011,1616.2,Urban
12013,24.8,Rural
12015,280.9,Rural
12017,260.2,Rural
12019,365.3,Rural
12021,194.1,Rural
12023,90.5,Rural
12027,59.8,Rural
12029,24.0,Rural
12031,1261.9,Urban
12033,487.1,Rural
12035,239.8,Rural
12037,23.0,Rural
12039,88.4,Rural
12041,53.5,Rural
12043,17.3,Rural
12045,25.7,Rural
12047,28.1,Rural
12049,42.2,Rural
12051,36.5,Rural
12053,414.9,Rural
12055,105.3,Rural
12057,1444.2,Urban
12059,41.2,Rural
12061,321.2,Rural
12063,51.3,Rural
12065,23.9,Rural
12067,15.3,Rural
12069,396.2,Rural
12071,990.9,Urban
12073,441.5,Rural
12075,37.4,Rural
12077,10.0,Rural
12079,26.6,Rural
12081,548.6,Urban
12083,233.0,Rural
12085,298.1,Rural
12086,1434.0,Urban
12087,75.4,Rural
12089,138.4,Rural
12091,228.0,Rural
12093,55.0,Rural
12095,1546.1,Urban
12097,285.1,Rural
12099,762.5,Urban
12101,750.4,Urban
12103,3579.0,Urban
12105,407.4,Rural
12107,103.0,Rural
12109,447.7,Rural
12111,580.5,Urban
12113,184.2,Rural
12115,787.8,Urban
12117,1531.4,Urban
12119,246.1,Rural
12121,64.7,Rural
12123,20.7,Rural
12125,61.6,Rural
12127,507.1,Urban
12129,56.4,Rural
12131,72.7,Rural
12133,44.1,Rural
13001,36.3,Rural
13003,24.1,Rural
13005,43.2,Rural
13007,8.8,Rural
13009,174.5,Rural
13011,83.4,Rural
13013,523.8,Urban
13015,235.7,Rural
13017,66.6,Rural
13019,43.1,Rural
13021,614.6,Urban
13023,59.9,Rural
13025,43.3,Rural
13027,31.1,Rural
13029,91.9,Rural
13031,119.7,Rural
13033,27.1,Rural
13035,136.7,Rural
13037,22.0,Rural
13039,89.6,Rural
13043,44.6,Rural
13045,241.7,Rural
13047,418.8,Rural
13049,17.5,Rural
13051,679.3,Urban
13053,44.1,Rural
13055,79.2,Rural
13057,618.4,Urban
13059,1079.3,Urban
13061,14.5,Rural
13063,2074.8,Urban
13065,8.3,Rural
13067,2242.5,Urban
13069,75.5,Rural
13071,84.2,Rural
13073,543.8,Urban
13075,76.2,Rural
13077,338.8,Rural
13079,38.3,Rural
13081,82.0,Rural
13083,92.8,Rural
13085,125.3,Rural
13087,44.2,Rural
13089,2837.4,Urban
13091,41.5,Rural
13093,34.1,Rural
13095,269.8,Rural
13097,735.1,Urban
13099,19.9,Rural
13101,9.7,Rural
13103,136.0,Rural
13105,54.8,Rural
13107,33.4,Rural
13109,58.4,Rural
13111,68.3,Rural
13113,591.7,Urban
13115,193.6,Rural
13117,1100.8,Urban
13119,89.7,Rural
13121,2026.3,Urban
13123,74.1,Rural
13125,20.7,Rural
13127,204.1,Rural
13129,163.5,Rural
13131,54.2,Rural
13133,47.7,Rural
13135,2181.8,Urban
13137,164.1,Rural
13139,523.3,Urban
13141,18.0,Rural
13143,106.2,Rural
13145,76.5,Rural
13147,113.4,Rural
13149,40.5,Rural
13151,734.3,Urban
13153,422.7,Rural
13155,26.8,Rural
13157,217.5,Rural
13159,38.8,Rural
13161,45.7,Rural
13163,29.2,Rural
13165,24.9,Rural
13167,31.8,Rural
13169,73.2,Rural
13171,104.6,Rural
13173,56.3,Rural
13175,59.1,Rural
13177,84.6,Rural
13179,125.5,Rural
13181,37.8,Rural
13183,49.1,Rural
13185,237.3,Rural
13187,120.1,Rural
13189,82.8,Rural
13191,34.1,Rural
13193,32.2,Rural
13195,106.4,Rural
13197,22.9,Rural
13199,42.3,Rural
13201,20.2,Rural
13205,42.6,Rural
13207,70.1,Rural
13209,38.5,Rural
13211,56.0,Rural
13213,116.7,Rural
13215,906.1,Urban
13217,413.2,Rural
13219,220.3,Rural
13221,35.0,Rural
13223,545.2,Urban
13225,184.2,Rural
13227,141.5,Rural
13229,61.8,Rural
13231,88.5,Rural
13233,137.7,Rural
13235,44.8,Rural
13237,64.5,Rural
13239,15.3,Rural
13241,46.7,Rural
13243,15.8,Rural
13245,626.1,Urban
13247,703.1,Urban
13249,31.5,Rural
13251,21.7,Rural
13253,34.3,Rural
13255,341.2,Rural
13257,145.1,Rural
13259,14.3,Rural
13261,61.0,Rural
13263,15.9,Rural
13265,7.9,Rural
13267,52.6,Rural
13269,21.3,Rural
13271,36.1,Rural
13273,25.4,Rural
13275,81.7,Rural
13277,157.4,Rural
13279,73.8,Rural
13281,73.0,Rural
13283,34.8,Rural
13285,168.7,Rural
13287,28.1,Rural
13289,22.7,Rural
13291,77.2,Rural
13293,81.7,Rural
13295,156.8,Rural
13297,292.9,Rural
13299,40.2,Rural
13301,18.5,Rural
13303,30.1,Rural
13305,46.8,Rural
13307,12.5,Rural
13309,26.5,Rural
13311,129.2,Rural
13313,360.4,Rural
13315,22.7,Rural
13317,20.9,Rural
13319,20.1,Rural
13321,35.5,Rural
15001,50.1,Rural
15003,1618.0,Urban
15005,7.3,Rural
15007,116.9,Rural
15009,144.3,Rural
16001,462.8,Rural
16003,3.2,Rural
16005,79.3,Rural
