density,total_population,countyfips,cancer,binge,csmoking,lpa,sleep
27.7,18036,5121,6.7,14.5,25.1,35.9,35.0
39.1,24832,5123,6.0,13.6,24.6,38.7,41.4
170.4,123287,5125,6.7,15.5,17.1,28.2,33.9
11.5,10284,5127,6.5,14.4,25.4,38.5,36.7
11.9,7903,5129,6.7,14.7,25.8,36.1,36.6
240.7,128014,5131,6.4,14.0,19.8,33.4,35.6
30.1,17018,5133,6.0,13.2,20.3,37.4,37.7
29.1,17579,5135,6.7,14.5,27.3,37.1,37.1
20.7,12555,5137,6.8,15.1,25.4,34.4,36.1
37.2,38617,5139,6.3,14.2,21.4,32.2,38.9
23.4,16571,5141,6.7,15.1,25.3,33.6,37.4
254.9,240117,5143,6.4,15.6,18.6,27.1,33.4
76.3,79013,5145,6.6,14.7,23.3,31.5,36.3
10.7,6307,5147,6.4,13.7,25.3,37.0,37.9
23.0,21367,5149,6.3,13.5,23.1,38.4,34.8
2261.3,1671168,6001,5.4,15.8,10.0,19.7,33.2
1.5,1136,6003,6.4,18.8,16.0,23.6,34.5
67.5,40131,6005,6.3,21.0,14.2,22.7,33.3
133.9,219114,6007,6.4,17.9,14.6,23.3,35.5
45.1,46038,6009,6.3,20.1,15.0,21.3,32.4
18.8,21605,6011,5.5,17.5,13.5,29.6,33.5
1613.5,1155188,6013,5.8,17.7,10.0,22.1,33.1
27.8,27972,6015,6.2,18.7,17.6,27.3,35.8
113.5,193913,6017,6.3,20.4,12.3,19.0,30.4
168.1,1001679,6019,5.4,14.8,14.3,29.4,38.0
21.7,28526,6021,5.8,18.1,15.2,28.2,34.5
38.1,135819,6023,6.4,19.1,15.4,21.5,32.3
43.3,180991,6025,4.9,16.5,13.3,33.3,33.6
1.8,18076,6027,6.2,19.6,13.6,22.1,32.9
111.1,903079,6029,5.6,15.8,15.1,33.0,34.3
110.5,153468,6031,5.4,18.5,14.3,30.6,36.3
51.4,64614,6033,6.2,17.3,16.5,26.7,35.1
6.7,30568,6035,6.2,20.2,16.5,25.7,34.7
2474.4,10040723,6037,5.1,16.6,10.9,25.2,36.5
73.9,157915,6039,5.5,16.1,14.1,30.9,33.9
497.8,259027,6041,6.2,19.2,9.5,17.3,28.6
11.9,17246,6043,6.4,20.0,14.8,22.4,33.5
24.8,86919,6045,6.2,19.4,14.8,25.1,33.3
144.3,279313,6047,5.3,16.3,14.4,32.2,35.4
2.3,8840,6049,6.3,18.8,17.2,26.0,34.3
4.7,14362,6051,6.1,19.7,12.9,22.4,32.0
132.5,434621,6053,5.4,17.7,12.0,27.9,32.5
184.4,137969,6055,5.8,19.1,10.8,20.6,30.2
104.6,100191,6057,6.5,20.7,12.4,18.8,30.3
4019.8,3177905,6059,5.7,17.0,10.4,21.6,34.3
285.3,401405,6061,6.2,19.0,11.0,17.6,31.2
7.4,18885,6063,6.6,20.5,14.0,20.4,32.8
344.7,2483726,6065,5.4,17.3,12.5,26.2,38.4
1613.9,1556817,6067,5.9,19.6,13.3,24.0,35.1
45.6,63266,6069,5.4,18.4,11.7,25.4,32.0
109.0,2185317,6071,5.3,16.2,13.2,29.6,37.5
795.1,3344694,6073,5.5,18.4,11.0,22.4,32.0
18825.8,882417,6075,5.2,19.2,9.3,18.9,33.2
550.2,765512,6077,5.4,17.8,13.9,27.5,36.6
86.1,284085,6079,6.2,20.3,11.9,20.8,30.1
1707.9,765837,6081,5.4,18.0,9.2,17.5,30.1
163.6,447530,6083,5.8,18.0,11.7,23.9,30.5
1491.6,1924317,6085,5.1,16.3,8.7,20.4,31.5
614.4,273524,6087,6.0,18.9,11.4,21.5,30.1
47.9,180772,6089,6.4,19.2,16.1,22.0,33.0
3.2,3009,6091,6.4,19.5,15.3,23.4,33.2
7.0,43732,6093,6.5,19.1,15.6,23.8,33.1
546.5,449107,6095,5.7,19.0,11.9,24.7,35.5
313.8,494527,6097,6.1,19.1,11.4,19.3,30.0
369.7,552693,6099,5.6,18.3,14.2,30.5,33.8
161.5,97287,6101,5.7,17.2,14.7,28.9,35.0
22.1,65316,6103,6.2,18.2,16.6,28.5,33.9
3.8,12236,6105,6.5,19.2,17.4,24.6,34.5
96.8,466926,6107,5.3,14.7,14.9,32.6,35.2
24.7,54761,6109,6.3,20.6,15.0,22.8,33.1
459.6,847146,6111,5.7,18.0,10.6,21.8,32.9
218.0,221203,6113,5.8,16.5,12.2,24.0,31.5
125.3,79182,6115,5.9,17.8,14.8,25.3,35.4
444.8,519315,8001,5.7,16.9,15.0,26.1,33.1
22.7,16423,8003,5.6,14.5,16.5,26.9,33.4
824.0,657609,8005,6.2,17.8,13.1,20.4,30.4
10.5,14179,8007,6.3,18.7,14.2,19.3,29.6
1.4,3594,8009,6.5,17.0,19.5,24.2,32.8
3.7,5548,8011,5.7,15.9,21.4,30.3,35.0
450.8,327381,8013,6.4,16.9,11.1,14.6,26.6
2143.6,70811,8014,6.3,18.0,10.7,14.2,28.5
20.2,20513,8015,6.5,18.2,15.5,18.6,29.7
1.0,1833,8017,6.4,18.4,17.2,20.7,31.9
24.6,9734,8019,6.5,19.3,13.7,16.4,29.6
6.4,8240,8021,5.4,15.0,16.1,27.7,33.7
3.2,3918,8023,5.3,13.8,17.3,31.2,34.4
7.8,6156,8025,5.7,17.6,20.7,28.5,35.7
6.9,5127,8027,6.6,18.8,15.4,18.3,30.5
27.5,31373,8029,6.3,16.3,19.4,23.9,32.5
4767.0,729348,8031,5.7,21.8,13.2,19.2,30.3
1.9,2067,8033,6.5,18.3,17.5,19.3,32.4
420.5,353316,8035,6.5,16.9,9.8,12.9,26.9
32.8,55196,8037,6.1,18.0,12.1,17.0,26.5
14.5,26896,8039,6.5,18.5,14.1,16.9,29.6
340.8,724738,8041,6.3,16.3,14.2,19.7,31.3
31.3,48031,8043,6.3,17.7,18.6,23.4,34.8
20.4,60213,8045,6.2,16.6,14.5,19.4,31.9
42.0,6293,8047,6.5,19.3,13.2,16.1,28.9
8.5,15783,8049,6.5,19.2,15.6,18.4,31.1
5.4,17600,8051,6.5,18.6,13.6,17.1,29.5
0.7,828,8053,6.6,18.9,14.3,17.1,29.9
4.4,6969,8055,5.8,16.6,15.2,23.6,32.3
0.9,1397,8057,6.5,18.2,17.2,20.9,32.5
765.1,584699,8059,6.5,18.2,13.5,14.8,29.7
0.8,1414,8061,6.6,17.4,18.6,21.5,32.5
3.3,7078,8063,6.4,17.3,17.7,22.2,33.0
21.7,8165,8065,5.9,16.6,16.0,23.0,31.8
33.4,56432,8067,6.5,18.5,14.2,16.6,29.6
138.4,359303,8069,6.6,18.4,13.9,15.8,27.2
3.1,14578,8071,5.7,15.6,15.8,25.0,32.8
2.2,5742,8073,6.3,18.1,19.2,24.1,32.8
12.1,22227,8075,6.3,18.6,18.5,23.1,34.1
46.6,155037,8077,6.4,18.7,17.9,20.9,32.5
0.9,775,8079,6.6,18.9,13.4,16.5,29.4
2.8,13290,8081,6.4,17.4,18.7,23.5,32.0
13.0,26288,8083,6.4,17.3,18.4,21.0,33.6
19.2,43000,8085,6.3,16.6,17.0,22.4,29.3
22.7,29042,8087,5.9,16.8,16.7,24.7,31.5
14.5,18335,8089,5.8,15.3,17.3,28.8,34.3
9.2,4987,8091,6.6,19.8,12.6,15.3,29.7
8.7,19031,8093,6.5,18.6,15.7,18.2,29.4
6.2,4264,8095,6.3,17.1,16.7,22.2,30.7
18.2,17683,8097,6.5,19.0,11.0,14.5,27.6
7.4,12206,8099,5.9,15.9,16.5,25.7,32.4
70.9,169155,8101,5.6,16.4,17.9,24.0,36.1
2.0,6321,8103,6.5,18.3,17.3,20.3,32.7
12.4,11268,8105,5.7,15.7,15.6,25.3,31.8
10.9,25796,8107,6.6,19.3,13.5,16.3,29.4
2.2,6858,8109,5.8,15.2,17.2,26.1,32.7
1.9,733,8111,6.4,18.6,14.9,18.4,30.6
6.4,8187,8113,6.5,18.1,11.8,15.5,28.2
4.1,2255,8115,6.4,16.7,18.9,24.0,32.3
51.1,31083,8117,6.4,19.9,12.5,15.8,29.7
45.9,25563,8119,6.6,19.2,14.4,16.2,30.6
2.0,4932,8121,6.5,17.9,18.2,22.3,33.0
82.0,327077,8123,6.2,17.5,14.8,21.2,32.0
4.2,10035,8125,6.4,17.1,16.9,23.2,33.0
1508.4,942596,9001,6.1,17.0,10.9,21.9,33.1
1212.9,891590,9003,6.0,16.4,13.2,24.0,35.4
196.0,180429,9005,6.7,18.5,14.0,20.3,32.9
440.3,162611,9007,6.4,18.5,13.2,21.3,33.0
1414.2,854873,9009,6.2,16.3,15.0,24.8,37.7
399.1,265342,9011,6.5,18.7,13.6,24.9,37.9
367.8,150866,9013,6.6,19.3,13.6,21.3,32.6
228.1,116984,9015,6.6,17.7,17.3,23.7,37.5
310.1,181760,10001,6.4,16.4,18.9,31.0,39.3
1315.2,560636,10003,6.1,19.0,15.4,26.8,36.6
252.5,236403,10005,7.0,18.0,17.5,27.3,35.7
11564.4,705989,11001,6.0,21.9,14.2,19.9,36.5
308.6,270032,12001,6.5,16.5,16.1,24.8,36.0
50.3,29434,12003,6.7,20.7,24.1,32.9,43.2
228.7,173469,12005,6.7,19.4,22.1,30.9,39.8
97.2,28568,12007,6.4,18.1,26.8,35.5,41.4
597.7,607014,12009,6.5,19.7,18.0,26.7,40.7
1616.2,1955251,12011,5.7,18.5,14.9,28.2,41.3
24.8,14062,12013,6.6,18.9,25.0,33.9,41.0
280.9,191064,12015,6.7,20.3,19.2,25.0,39.8
260.2,151369,12017,6.8,19.7,23.3,29.2,42.9
365.3,220763,12019,6.6,19.1,19.7,28.1,41.0
194.1,387966,12021,6.1,19.2,15.6,24.6,34.1
90.5,72154,12023,6.6,18.4,25.9,32.6,42.4
59.8,38079,12027,5.9,16.6,22.8,38.1,39.4
24.0,16919,12029,6.6,19.2,27.8,34.9,40.0
1261.9,961793,12031,6.3,17.4,19.0,30.1,40.2
487.1,319784,12033,6.6,18.0,19.6,28.2,41.3
239.8,116416,12035,6.5,19.4,20.7,26.1,39.5
23.0,12286,12037,6.6,21.6,25.0,33.4,39.7
88.4,45669,12039,6.0,16.0,21.9,35.4,42.9
53.5,18716,12041,6.7,19.3,25.0,32.0,38.7
17.3,13948,12043,6.2,18.0,24.2,36.5,39.6
25.7,14474,12045,6.7,20.2,23.0,31.2,41.0
28.1,14449,12047,6.3,18.8,27.6,38.2,40.7
42.2,26938,12049,5.9,16.9,22.5,41.3,39.9
36.5,42033,12051,5.5,16.5,21.5,41.8,41.5
414.9,196043,12053,6.4,19.8,20.9,31.0,39.2
105.3,107017,12055,6.2,18.2,20.9,31.5,36.9
1444.2,1473380,12057,5.9,17.9,16.1,26.9,37.6
41.2,19703,12059,6.7,18.2,26.8,36.2,41.6
321.2,161546,12061,6.4,18.7,18.1,27.2,36.9
51.3,47080,12063,6.3,17.9,25.5,37.9,40.1
23.9,14288,12065,6.4,19.0,22.6,32.4,38.7
15.3,8315,12067,6.5,19.0,25.6,36.4,40.8
396.2,371792,12069,6.4,17.7,19.3,29.0,40.2
990.9,777411,12071,6.3,20.5,17.2,26.9,36.8
441.5,294412,12073,6.4,17.2,16.6,24.9,38.5
37.4,41797,12075,6.6,17.7,24.6,33.5,40.5
10.0,8393,12077,6.5,19.9,25.6,33.8,38.5
26.6,18524,12079,6.3,17.3,24.2,35.5,41.7
548.6,407576,12081,6.3,19.6,17.1,26.2,36.5
233.0,369231,12083,6.4,19.0,21.4,29.5,40.1
298.1,161980,12085,6.5,21.0,17.0,25.6,35.7
1434.0,2721256,12086,5.0,17.7,13.6,33.7,38.8
75.4,74150,12087,6.2,23.2,17.1,26.7,38.0
138.4,89773,12089,6.8,21.4,18.8,26.0,37.1
228.0,212140,12091,6.5,19.4,18.0,26.4,39.0
55.0,42326,12093,6.3,17.9,23.5,39.6,41.1
1546.1,1396795,12095,5.7,18.3,15.3,29.9,40.8
285.1,378454,12097,5.4,16.2,15.6,31.5,37.1
762.5,1502034,12099,6.1,19.2,14.9,24.4,37.5
750.4,560435,12101,6.3,19.2,21.1,28.2,39.0
3579.0,979919,12103,6.5,21.2,18.9,23.3,38.0
407.4,732435,12105,6.2,17.0,18.4,32.8,40.2
103.0,74925,12107,6.5,17.5,27.2,35.9,41.4
447.7,268905,12109,6.5,21.1,16.4,22.2,33.9
580.5,331983,12111,6.2,17.1,18.1,28.7,40.3
184.2,186294,12113,6.6,19.1,19.4,26.2,39.4
787.8,437909,12115,6.6,21.7,17.2,22.7,35.1
